Process,Waiting_Time,TurnAround_Time,Average_Waiting_Time,Average_Response_Time,Average_TurnAround_Time,CPU_Utilization,Throughput
1,0,4,2.2,2.2,5.0,1.0,0.00035714285714285714
3,2,4,,,,,
2,4,7,,,,,
5,0,1,,,,,
4,5,9,,,,,
